Time, UserID, Wireless Signal Status, Blink, Wink Left, Wink Right, Surprise, Furrow, Smile, Clench, LongTermExcitementRawNorm, ShortTermExcitementRawNorm, ShortTermExcitementRaw, ShortTermExcitementMin, ShortTermExcitementMax, RelaxationRawNorm, RelaxationRaw, RelaxationMin, RelaxationMax, StressRawNorm, StressRaw, StressMin, StressMax, EngagementRawNorm, EngagementRaw, EngagementMin, EngagementMax, InterestRawNorm, InterestRaw, InterestMin, InterestMax, FocusRawNorm, FocusRaw, FocusMin, FocusMax,
11.70051193,8192,2,0,0,0,0,0.213504031,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
11.82622242,8192,2,0,0,0,0,0.210964575,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
11.92714024,8192,2,1,0,0,0,0.210964575,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
11.95801353,8192,2,1,0,0,0,0.046039071,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.300912678,0.509354055,0.415382862,0.697271347, 
12.08224583,8192,2,0,0,0,0,0.039859127,0,0,0.018728476,0.175852805,0.509354055,0.415382862,0.697271347,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
12.20708561,8192,2,0,0,0,0,0.103765793,0,0,0.018728476,0.175852805,0.50934571,0.416093528,0.695838392,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
12.30088425,8192,2,1,0,0,0,0.103765793,0,0,0.018728476,0.175852805,0.50934571,0.416093528,0.695838392,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
12.33215618,8192,2,1,0,0,0,0.173779756,0,0,0.018728476,0.175852805,0.50934571,0.416093528,0.695838392,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
12.45743179,8192,2,0,0,0,0,0.14445515,0,0,0.018728476,0.175852805,0.50934571,0.416093528,0.695838392,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
12.51995659,8192,2,1,0,0,0,0.14445515,0,0,0.018728476,0.175852805,0.50934571,0.416093528,0.695838392,0.365759283,-0.132003978,-0.301178721,0.122447143,0.210343003,-0.48078908,-1.089743146,1.380245668,0.372621238,0.249927025,-0.709790137,1.208542504,0.308517039,2.964364713,-9.254925576,10.27396333,0.301975846,0.50934571,0.416093528,0.695838392, 
